Subject,Careers,Number of Careers
Sociology,"['Disability Case Manager - Human Resources', 'Exam Invigilator - Post-secondary Institution', 'Employment Interviewer', 'Personnel Interviewer', 'Labour Force Consultant', 'Staffing Analyst']",6
Social Sciences,"['Human Resources Policy Analyst', 'Nursing Registry Supervisor', 'Labour Force Consultant', 'Case Load Planner - Home Health Care Services']",4
Law,"['Human Resources Policy Analyst', 'Labour Adjudicator', 'Athlete Agent', 'Sports Agent', 'Exam Invigilator - Post-secondary Institution', 'Public Trustee', 'Committee Clerk', 'Corporate Secretary', 'Landlord/Landlady', 'Property Management Agent', 'Commercial Building Rental Agent', 'Land Agent', 'Landman/Woman - Oil and Gas', 'Assistant Registrar - Courts', 'Clerk of the Court', 'Deed Recorder', 'Citizenship Registration Examiner', 'Claims Adjudicator - Employment Insurance', 'Corporate Law Secretary', 'Commercial Law Legal Assistant', 'Labour Law Legal Assistant', 'Wills and Estates Legal Assistant']",22
Social Studies,"['Labour Adjudicator', 'Records Management Systems Analyst', 'Museum Educator', 'Records Management Services Supervisor', 'Committee Clerk', 'Constituency Aid', 'Constituency Assistant', 'Assistant Registrar - Courts', 'Clerk of the Court', 'Deed Recorder', 'Registrar of Wills', 'Registry Officer - Marriages', 'Citizenship Registration Examiner', 'Claims Adjudicator - Employment Insurance', 'School Secretary', 'Executive Secretary (Except Legal and Medical)', 'Commercial Law Legal Assistant', 'Labour Law Legal Assistant', 'Records Classifier']",19
Communications,"['Training and Development Consultant', 'Actor Agent']",2
Environmental Science,"['ISO Consultant', 'Energy Asset Surface Land Analyst', 'Land Agent']",3
Physics,"['ISO Consultant', 'Transport Logistics Technician', 'Traffic Control Supervisor', 'Preliminary Press Planner', 'Landman/Woman - Oil and Gas', 'Microfilmer', 'Automotive Parts Clerk - Retail', 'Aviation Partsperson', 'Industrial Warehouse Person', 'Ship Keeper', 'Warehouse Clerk - Parts and Equipment', 'Compositor - Typesetting', 'Imposition Planner', 'Linotype Composing Machine Operator', 'Scheduler - Transit System']",15
Chemistry,"['ISO Consultant', 'Nursing Registry Supervisor', 'Energy Asset Surface Land Analyst', 'Landman/Woman - Oil and Gas', 'Case Load Planner - Home Health Care Services', 'Cancer Registrar', 'Health Information Management Technician', 'Health Records Classifier', 'Health Records Technician', 'Medical Supply Clerk', 'Ship Keeper', 'Wine Cellar Attendant']",12
Geography,"['Subway Scheduler', 'Distribution and Transport Logistics Technician', 'Freight Forwarding Technician', 'Ocean Freight Technician', 'Transport Logistics Technician', 'Commercial Building Rental Agent', 'Energy Asset Surface Land Analyst', 'Land Agent', 'Landman/Woman - Oil and Gas', 'Scheduler - Transit System']",10
"Computer Science
Economics",['Purchasing Clerk'],1
Drama/Theater Arts,['Actor Agent'],1
Marketing,"['Actor Agent', 'Sports Agent', 'Trade Show Organizer', 'Festival Organizer']",4
Physical Education,"['Athlete Agent', 'Administrative Assistant - Medical', 'Case Load Planner - Home Health Care Services', 'Medical Administrative Assistant', 'Medical Secretary', 'Medical Stenographer', 'Health Records Classifier']",7
Drama,['Casting Agent'],1
Theater Arts,['Casting Agent'],1
Communication,"['Casting Agent', 'Museum Educator', 'Administrative Clerks Supervisor', 'Committee Clerk', 'Executive Assistant', 'Employment Interviewer', 'Conference Organizer', 'Event Planner', 'Festival Organizer']",9
History,"['Museum Educator', 'Committee Clerk', 'Clerk of the Court', 'Deed Recorder', 'Commercial Law Legal Assistant', 'Wills and Estates Legal Assistant', 'Microfilmer', 'Linotype Composing Machine Operator']",8
Art,"['Museum Educator', 'Cold-composition Typographer', 'Linotype Composing Machine Operator']",3
Public,['Museum Educator'],1
Speaking,['Museum Educator'],1
Physical Education/Sports,['Sports Agent'],1
Computer Applications,['Office Supervisor'],1
Business Studies nad Communication,['Telephone Service Supervisor'],1
Business,"['Assistant Accountant', 'Corporate Secretary']",2
Language Arts,['Payroll Supervisor'],1
Construction Technology,['Traffic Control Supervisor'],1
Transportation Technology,['Traffic Control Supervisor'],1
Conflict Resolution,['Exam Invigilator - Post-secondary Institution'],1
Visual Arts,"['Preliminary Press Planner', 'Compositor - Typesetting', 'Imposition Planner']",3
French,"['Committee Clerk', 'Conference Organizer']",2
Public Speaking,['Committee Clerk'],1
Computer Studies,"['Constituency Aid', 'Constituency Assistant', 'Commercial Law Legal Assistant', 'Wills and Estates Legal Assistant']",4
Career Studies,['Labour Force Consultant'],1
Legal Studies,"['Energy Asset Joint Venture Representative', 'Registrar of Wills', 'Registry Officer - Marriages', 'Estate Secretary']",4
Hospitality,"['Event Planner', 'Convention Planner', 'Trade Show Organizer']",3
Tourism,"['Event Planner', 'Convention Planner', 'Trade Show Organizer']",3
Event Management,"['Event Planner', 'Convention Planner', 'Trade Show Organizer']",3
Civics,"['Assistant Registrar - Courts', 'Claims Adjudicator - Employment Insurance']",2
Communications Technology,"['Personal Secretary', 'Desktop Publishing (DTP) Operator']",2
Communication Technology,['Administrative Assistant'],1
Accounting or Communication,['Corporate Law Secretary'],1
Health Sciences,['Cancer Registrar'],1
Health Science,"['Health Information Management Coder', 'Health Information Management Technician', 'Health Records Technician', 'Health Records Management Coder', 'Medical Archivist']",5
Data Management,['Records Digitizing Technician'],1
Automotive Technology,['Automotive Parts Clerk - Retail'],1
Industrial Arts,['Parts Technician'],1
Technical Drawing/Industrial Arts,['Ship Keeper'],1
Technical Education,['Warehouse Clerk - Parts and Equipment'],1
Food/Nutrition,['Wine Cellar Attendant'],1
Graphic Design,"['Cold-composition Typographer', 'Compositor - Typesetting', 'Desktop Publishing (DTP) Operator', 'Imposition Planner']",4
Arts,['Desktop Publishing (DTP) Operator'],1
Design,['Linotype Composing Machine Operator'],1
